check,fund,source_a,value_a,source_b,value_b,diff,flag
flow:mon3Sales,CTMA,AP_orders,127986.50,TB@20260624,127986.50,0.00,
flow:mon3Redemption,CTMA,AP_orders,639952.50,TB@20260624,639952.50,0.00,
flow:mon1Sales,CUST,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Redemption,CUST,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Sales,CUST,AP_orders,0.00,TB@20260624,250000.00,-250000.00,REVIEW
flow:mon2Redemption,CUST,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon3Sales,CUST,AP_orders,7508946.00,TB@20260624,7258946.00,250000.00,
flow:mon3Redemption,CUST,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Sales,DELC,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Redemption,DELC,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Sales,DELC,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Redemption,DELC,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon3Sales,DELC,AP_orders,0.00,TB@20260624,250000.00,-250000.00,REVIEW
flow:mon3Redemption,DELC,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Sales,DIPR,AP_orders,0.00,TB@20260624,125000.00,-125000.00,REVIEW
flow:mon1Redemption,DIPR,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Sales,DIPR,AP_orders,3953025.00,TB@20260624,2497345.00,1455680.00,REVIEW
flow:mon2Redemption,DIPR,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon3Sales,DIPR,AP_orders,0.00,TB@20260624,1330680.00,-1330680.00,REVIEW
flow:mon3Redemption,DIPR,AP_orders,0.00,TB@20260624,0.00,0.00,
